,user_id,date,power,month,time,year,power_kWh,cost,date_withoutYear
63,2,2020-08-06,41276.30000000039,Aug,00:01:00,2020,0.6848400000000053,0.13536999999999894,06/08
64,2,2020-08-07,76511.20000000045,Aug,00:00:48,2020,1.273409999999999,0.25182000000000326,07/08
65,2,2020-08-08,84551.2999999998,Aug,00:00:27,2020,1.4085500000000013,0.27933000000000635,08/08
66,2,2020-08-09,50751.99999999978,Aug,00:00:02,2020,0.8407499999999916,0.1644899999999999,09/08
67,2,2020-08-10,51012.49999999971,Aug,00:00:41,2020,0.843739999999994,0.16498999999999994,10/08
68,2,2020-08-11,60728.59999999992,Aug,00:00:31,2020,1.0088599999999994,0.19801000000000155,11/08
69,2,2020-08-12,92424.89999999832,Aug,00:00:38,2020,1.5450899999999952,0.3057000000000075,12/08
70,2,2020-08-13,46482.79999999856,Aug,00:00:20,2020,0.778969999999997,0.15323999999999996,13/08
71,2,2020-08-14,21637.1000000004,Aug,00:00:49,2020,0.36216000000000104,0.07142000000000044,14/08
72,2,2020-08-15,4054.100000000003,Aug,11:36:09,2020,0.06746,0.013679999999999998,15/08
73,2,2020-08-16,50124.69999999978,Aug,03:37:11,2020,0.8347000000000042,0.1659600000000019,16/08
74,2,2020-08-17,104342.50000000006,Aug,00:00:23,2020,1.7391499999999693,0.3460300000000019,17/08
75,2,2020-08-18,121292.70000000045,Aug,00:00:20,2020,2.0220400000000116,0.40626999999999824,18/08
76,2,2020-08-19,110645.80000000002,Aug,00:00:50,2020,1.845180000000012,0.37122000000000005,19/08
77,2,2020-08-20,123855.60000000015,Aug,00:01:38,2020,2.065490000000006,0.41551999999999906,20/08
78,2,2020-08-21,53562.59999999992,Aug,00:00:54,2020,0.8917600000000091,0.18011999999999795,21/08
79,2,2020-08-22,16221.2,Aug,16:49:42,2020,0.2689299999999994,0.055489999999999845,22/08
80,2,2020-08-23,41344.0,Aug,00:00:38,2020,0.6854400000000123,0.1414400000000011,23/08
81,2,2020-08-24,0.0,Aug,00:00:53,2020,0.0,0.0,24/08
82,2,2020-08-25,0.2,Aug,00:00:48,2020,0.0,0.0,25/08
83,2,2020-08-26,20447.0,Aug,00:00:45,2020,0.3378199999999959,0.07111999999999845,26/08
84,2,2020-08-27,32821.0,Aug,00:00:50,2020,0.5422599999999975,0.1141599999999967,27/08
85,2,2020-08-28,8533.0,Aug,00:00:48,2020,0.14098000000000033,0.02968000000000007,28/08
86,2,2020-08-29,16118.099999999984,Aug,00:00:08,2020,0.2682500000000079,0.051369999999999715,29/08
87,2,2020-08-30,65671.60000000002,Aug,00:00:36,2020,1.0953100000000038,0.2203799999999998,30/08
88,2,2020-08-31,129638.50000000007,Aug,00:00:11,2020,2.161610000000008,0.4349400000000003,31/08
89,2,2020-09-01,84925.50000000208,Sep,00:00:17,2020,1.4141999999999721,0.2837899999999927,01/09
90,2,2020-09-02,67948.29999999968,Sep,00:00:13,2020,1.13200999999999,0.225030000000001,02/09
91,2,2020-09-03,14335.39999999985,Sep,00:00:45,2020,0.24104000000000225,0.04678999999999974,03/09
92,3,2020-07-20,21.299999999999997,Jul,07:59:57,2020,0.0,0.0,20/07
93,3,2020-07-21,2414.5999999999335,Jul,14:02:43,2020,0.038210000000000334,0.0072599999999999965,21/07
94,3,2020-07-22,4375.499999999955,Jul,00:00:58,2020,0.06864000000000005,0.013670000000000002,22/07
95,3,2020-07-23,58195.299999998,Jul,00:45:18,2020,0.966280000000018,0.1915900000000009,23/07
96,3,2020-07-24,83107.29999999987,Jul,00:00:50,2020,1.382720000000036,0.27416000000000373,24/07
97,3,2020-07-25,92380.80000000104,Jul,00:00:33,2020,1.5370000000000426,0.3047500000000048,25/07
98,3,2020-07-26,81585.00000000079,Jul,00:00:58,2020,1.3583600000000349,0.26933000000000357,26/07
99,3,2020-07-27,78754.70000000062,Jul,00:00:15,2020,1.3108000000000328,0.25990000000000324,27/07
100,3,2020-07-28,94161.00000000153,Jul,00:45:05,2020,1.5677400000000414,0.310730000000005,28/07
101,3,2020-07-29,94026.10000000263,Jul,00:00:09,2020,1.5654200000000442,0.310270000000005,29/07
102,3,2020-07-30,8486.000000000286,Jul,00:00:08,2020,0.1333999999999997,0.02645000000000003,30/07
103,3,2020-07-31,385.3000000000039,Jul,00:00:48,2020,0.0012300000000000026,0.0,31/07
